year,state_name,state_abbr,total_ac,count
2016,North Carolina,NC,95734,27
2017,North Carolina,NC,15503,11
2018,North Carolina,NC,6842,8
2000,North Dakota,ND,8387,4
2001,North Dakota,ND,1173,1
2002,North Dakota,ND,35800,5
2003,North Dakota,ND,9815,3
2004,North Dakota,ND,8872,3
2005,North Dakota,ND,14481,4
2006,North Dakota,ND,16959,6
2007,North Dakota,ND,4655,3
2008,North Dakota,ND,6069,3
2009,North Dakota,ND,4543,3
2010,North Dakota,ND,1333,1
2011,North Dakota,ND,1363,1
2012,North Dakota,ND,12457,3
2014,North Dakota,ND,2471,1
2015,North Dakota,ND,14882,4
2016,North Dakota,ND,2930,2
2017,North Dakota,ND,12081,5
2018,North Dakota,ND,9052,2
2000,Nebraska,NE,110263,16
2001,Nebraska,NE,5449,2
2002,Nebraska,NE,35789,8
2003,Nebraska,NE,1048,1
2004,Nebraska,NE,2486,1
2005,Nebraska,NE,1227,1
2006,Nebraska,NE,75450,4
2007,Nebraska,NE,4907,2
2008,Nebraska,NE,1861,1
2010,Nebraska,NE,2686,1
2011,Nebraska,NE,16944,5
2012,Nebraska,NE,333334,21
2015,Nebraska,NE,1805,1
2017,Nebraska,NE,2267,1
2018,Nebraska,NE,5624,1
2000,New Jersey,NJ,1664,2
2001,New Jersey,NJ,6480,7
2002,New Jersey,NJ,6642,5
2003,New Jersey,NJ,2068,2
2004,New Jersey,NJ,4588,5
2006,New Jersey,NJ,5541,3
2007,New Jersey,NJ,18020,2
2008,New Jersey,NJ,1814,1
2010,New Jersey,NJ,6079,6
2012,New Jersey,NJ,666,1
2014,New Jersey,NJ,2838,3
2015,New Jersey,NJ,1633,2
2017,New Jersey,NJ,4189,2
2018,New Jersey,NJ,827,1
2000,New Mexico,NM,403487,55
2001,New Mexico,NM,72705,19
2002,New Mexico,NM,270195,21
2003,New Mexico,NM,250971,18
2004,New Mexico,NM,92197,8
2005,New Mexico,NM,169445,15
2006,New Mexico,NM,485049,55
2007,New Mexico,NM,65298,22
2008,New Mexico,NM,314221,53
2009,New Mexico,NM,432544,44
2010,New Mexico,NM,104452,24
2011,New Mexico,NM,1072311,91
2012,New Mexico,NM,359656,6
2013,New Mexico,NM,175538,5
2014,New Mexico,NM,40592,10
2015,New Mexico,NM,44490,9
2016,New Mexico,NM,159766,34
2017,New Mexico,NM,165602,31
2018,New Mexico,NM,325764,32
2000,Nevada,NV,603956,56
2001,Nevada,NV,608647,50
2002,Nevada,NV,41075,13
2003,Nevada,NV,14358,6
2004,Nevada,NV,34200,10
2005,Nevada,NV,1061800,39
2006,Nevada,NV,1331294,90
2007,Nevada,NV,789889,44
2008,Nevada,NV,73251,9
2009,Nevada,NV,27936,5
2010,Nevada,NV,16350,5
2011,Nevada,NV,424083,35
2012,Nevada,NV,431074,43
2013,Nevada,NV,164186,21
2014,Nevada,NV,68608,8
2015,Nevada,NV,19741,5
2016,Nevada,NV,259129,24
2017,Nevada,NV,1099528,65
2018,Nevada,NV,932239,34
2006,New York,NY,943,1
2008,New York,NY,2224,1
2010,New York,NY,1018,1
2012,New York,NY,1068,1
2015,New York,NY,2747,1
2016,New York,NY,2571,2
2018,New York,NY,658,1
2003,Ohio,OH,1043,1
2009,Ohio,OH,3259,1
2000,Oklahoma,OK,68041,20
2001,Oklahoma,OK,28573,8
2002,Oklahoma,OK,27573,10
2003,Oklahoma,OK,89654,23
2004,Oklahoma,OK,147276,27
2005,Oklahoma,OK,249600,64
2006,Oklahoma,OK,206504,55
2007,Oklahoma,OK,111222,17
2008,Oklahoma,OK,113874,37
2009,Oklahoma,OK,1112193,39
2010,Oklahoma,OK,47443,22
2011,Oklahoma,OK,726316,141
2012,Oklahoma,OK,182196,40
2013,Oklahoma,OK,34592,13
2014,Oklahoma,OK,533961,91
2015,Oklahoma,OK,493060,84
2016,Oklahoma,OK,688496,118
2017,Oklahoma,OK,316997,63
2018,Oklahoma,OK,723295,74
2000,Oregon,OR,335566,33
2001,Oregon,OR,424895,43
2002,Oregon,OR,1010750,44
2003,Oregon,OR,148344,12
2004,Oregon,OR,42719,10
2005,Oregon,OR,146774,28
2006,Oregon,OR,468625,43
2007,Oregon,OR,581678,40
2008,Oregon,OR,203012,27
2009,Oregon,OR,116038,16
2010,Oregon,OR,109783,23
2011,Oregon,OR,295058,33
2012,Oregon,OR,1506483,27
2013,Oregon,OR,336269,32
2014,Oregon,OR,918724,57
2015,Oregon,OR,582963,28
2016,Oregon,OR,200037,19
2017,Oregon,OR,735609,55
2018,Oregon,OR,792816,41
2004,Pennsylvania,PA,1838,1
2005,Pennsylvania,PA,510,1
2006,Pennsylvania,PA,1794,3
2008,Pennsylvania,PA,2003,1
2009,Pennsylvania,PA,2848,2
2012,Pennsylvania,PA,812,1
2014,Pennsylvania,PA,945,1
2015,Pennsylvania,PA,1394,2
2016,Pennsylvania,PA,8545,2
2018,Pennsylvania,PA,711,1
2005,Puerto Rico,PR,7677,4
2007,Puerto Rico,PR,4502,2
2013,Puerto Rico,PR,631,1
2001,South Carolina,SC,6949,4
2002,South Carolina,SC,12622,11
2003,South Carolina,SC,6296,4
2004,South Carolina,SC,26018,21
2005,South Carolina,SC,27457,9
2006,South Carolina,SC,5085,6
2007,South Carolina,SC,12867,10
2008,South Carolina,SC,122727,101
2009,South Carolina,SC,149063,96
2010,South Carolina,SC,123357,78
2011,South Carolina,SC,9630,10
2012,South Carolina,SC,5509,5
2013,South Carolina,SC,17722,13
2014,South Carolina,SC,47786,32
2015,South Carolina,SC,32471,22
2016,South Carolina,SC,58069,35
2017,South Carolina,SC,51004,30
2018,South Carolina,SC,52980,46
2000,South Dakota,SD,195604,31
2001,South Dakota,SD,38398,10
2002,South Dakota,SD,76806,16
2003,South Dakota,SD,36475,10
2004,South Dakota,SD,6920,3
2005,South Dakota,SD,18186,10
2006,South Dakota,SD,79563,19
2007,South Dakota,SD,51536,11
2008,South Dakota,SD,5437,2
2009,South Dakota,SD,4211,3
2010,South Dakota,SD,5302,2
2011,South Dakota,SD,26165,6
2012,South Dakota,SD,107770,11
2013,South Dakota,SD,11733,1
2014,South Dakota,SD,4479,3
2015,South Dakota,SD,25014,4
2016,South Dakota,SD,82674,8
2017,South Dakota,SD,65062,5
2018,South Dakota,SD,2179,1
2000,Tennessee,TN,42750,25
2001,Tennessee,TN,34506,24
2003,Tennessee,TN,15337,12
2004,Tennessee,TN,4062,4
2005,Tennessee,TN,6281,5
2006,Tennessee,TN,5657,7
2007,Tennessee,TN,16071,14
2008,Tennessee,TN,5092,6
2009,Tennessee,TN,7346,4
2010,Tennessee,TN,13493,8
2011,Tennessee,TN,970,1
2012,Tennessee,TN,2875,3
2013,Tennessee,TN,14916,9
2014,Tennessee,TN,12410,9
2015,Tennessee,TN,1402,2
2016,Tennessee,TN,56270,22
2017,Tennessee,TN,1080,1
2018,Tennessee,TN,6432,6
2000,Texas,TX,123966,27
2001,Texas,TX,86609,24
2002,Texas,TX,26505,11
2003,Texas,TX,68801,20
2004,Texas,TX,45977,22
2005,Texas,TX,141566,49
2006,Texas,TX,1075481,99
2007,Texas,TX,73017,29
2008,Texas,TX,889544,114
2009,Texas,TX,330177,82
2010,Texas,TX,236440,76
2011,Texas,TX,2774734,233
2012,Texas,TX,106679,23
2013,Texas,TX,70194,28
2014,Texas,TX,129849,39
2015,Texas,TX,116859,31
2016,Texas,TX,199733,52
2017,Texas,TX,608997,58
2018,Texas,TX,336766,66
2000,Utah,UT,197587,29
2001,Utah,UT,123192,25
2002,Utah,UT,268329,26
2003,Utah,UT,101672,14
2004,Utah,UT,83682,14
2005,Utah,UT,248061,32
2006,Utah,UT,315653,47
2007,Utah,UT,590874,35
2008,Utah,UT,23172,8
2009,Utah,UT,104373,17
2010,Utah,UT,57202,7
2011,Utah,UT,47381,12
2012,Utah,UT,417744,40
2013,Utah,UT,54013,10
2014,Utah,UT,20586,8
2015,Utah,UT,4177,2
2016,Utah,UT,95376,23
2017,Utah,UT,223977,23
2018,Utah,UT,500322,28
2000,Virginia,VA,27319,3
2001,Virginia,VA,2373,3
2002,Virginia,VA,11645,7
2003,Virginia,VA,1797,1
2004,Virginia,VA,1495,2
2005,Virginia,VA,1675,2
2006,Virginia,VA,12780,9
2007,Virginia,VA,5207,6
2008,Virginia,VA,21982,9
2009,Virginia,VA,602,1
2010,Virginia,VA,14512,11
2011,Virginia,VA,15327,9
2012,Virginia,VA,49046,11
2013,Virginia,VA,7212,4
2014,Virginia,VA,20729,8
2015,Virginia,VA,3751,2
2016,Virginia,VA,27160,7
2017,Virginia,VA,6445,5
2018,Virginia,VA,9915,5
2000,Washington,WA,323274,16
2001,Washington,WA,200632,20
2002,Washington,WA,81525,11
2003,Washington,WA,192705,23
2004,Washington,WA,72809,9
2005,Washington,WA,125677,15
2006,Washington,WA,404773,23
2007,Washington,WA,240275,28
2008,Washington,WA,107637,19
2009,Washington,WA,69237,7
2010,Washington,WA,102388,19
2011,Washington,WA,26128,8
2012,Washington,WA,342957,31
2013,Washington,WA,142906,14
2014,Washington,WA,415041,19
2015,Washington,WA,1157155,43
2016,Washington,WA,289930,26
2017,Washington,WA,400869,28
2018,Washington,WA,405308,35
2001,Wisconsin,WI,1109,2
2003,Wisconsin,WI,2684,4
2005,Wisconsin,WI,4123,2
2006,Wisconsin,WI,2837,3
2007,Wisconsin,WI,5384,7
2008,Wisconsin,WI,1110,2
2009,Wisconsin,WI,2008,3
2010,Wisconsin,WI,1236,1
2013,Wisconsin,WI,9770,3
2014,Wisconsin,WI,2116,1
2015,Wisconsin,WI,2768,2
2016,Wisconsin,WI,2682,1
2018,Wisconsin,WI,2393,3
2000,West Virginia,WV,12144,10
2001,West Virginia,WV,66016,48
2005,West Virginia,WV,2571,2
2006,West Virginia,WV,966,1
2008,West Virginia,WV,677,1
2009,West Virginia,WV,1754,2
2010,West Virginia,WV,11960,9
2012,West Virginia,WV,3561,3
2013,West Virginia,WV,2533,2
2014,West Virginia,WV,1069,1
2015,West Virginia,WV,9974,6
2016,West Virginia,WV,2792,3
2017,West Virginia,WV,3657,3
2018,West Virginia,WV,2473,1
2000,Wyoming,WY,350234,37
2001,Wyoming,WY,57638,14
2002,Wyoming,WY,110911,17
2003,Wyoming,WY,64786,13
2004,Wyoming,WY,15026,5
2005,Wyoming,WY,22419,8
2006,Wyoming,WY,236521,31
2007,Wyoming,WY,91179,21
2008,Wyoming,WY,95876,5
2009,Wyoming,WY,30366,10
2010,Wyoming,WY,83999,16
2011,Wyoming,WY,107634,20
2012,Wyoming,WY,429525,32
2013,Wyoming,WY,42591,7
2014,Wyoming,WY,3130,2
2015,Wyoming,WY,22113,8
2016,Wyoming,WY,257866,21
2017,Wyoming,WY,113701,10
2018,Wyoming,WY,216635,15
