OID_,DM,date,STATE_NAME,STATE_ABBR,Shape_Length,Shape_Area,Acres
192,0,2018-01-02,Illinois,IL,24.87002727,4.962417089,11692095
193,0,2018-01-02,Indiana,IN,5.913428807,0.5613917,1332729
194,0,2018-01-02,Kansas,KS,23.19117623,14.87806567,35434823
195,0,2018-01-02,Kentucky,KY,4.53041944,0.269443377,654435
196,0,2018-01-02,Louisiana,LA,106.6334603,1.159810773,3063810
197,0,2018-01-02,Massachusetts,MA,2.035044208,0.062118049,140765
198,0,2018-01-02,Maryland,MD,38.40127517,1.010977152,2404750
199,0,2018-01-02,Maine,ME,40.74979706,0.690820236,1519831
200,0,2018-01-02,Minnesota,MN,17.20094725,2.919114933,6157442
201,0,2018-01-02,Missouri,MO,27.50151934,9.788076313,23274186
202,0,2018-01-02,Mississippi,MS,24.94433413,3.533419973,9047045
203,0,2018-01-02,Montana,MT,21.60093026,4.728586959,9873189
204,0,2018-01-02,North Carolina,NC,73.76684099,6.184080678,15384544
205,0,2018-01-02,North Dakota,ND,13.5360459,6.927857309,14341930
206,0,2018-01-02,Nebraska,NE,33.93636184,19.13665757,43888722
207,0,2018-01-02,New Hampshire,NH,0.535178545,0.01039175,23021
208,0,2018-01-02,New Jersey,NJ,6.348835372,0.81877059,1895479
209,0,2018-01-02,New Mexico,NM,21.33282239,14.44774953,36574183
210,0,2018-01-02,Nevada,NV,17.07349824,8.303340974,20067296
211,0,2018-01-02,New York,NY,18.56761826,2.720312437,6195499
212,0,2018-01-02,Oklahoma,OK,14.01882216,4.13768276,10217960
213,0,2018-01-02,Pennsylvania,PA,15.6119931,2.876314271,6684849
214,0,2018-01-02,South Carolina,SC,36.48134774,3.959074821,10031180
215,0,2018-01-02,South Dakota,SD,26.82165311,9.074692806,19971266
216,0,2018-01-02,Tennessee,TN,11.24747961,1.038485165,2580406
217,0,2018-01-02,Texas,TX,83.02122777,21.5491838,56085116
218,0,2018-01-02,Utah,UT,19.58183207,6.723960312,15700876
219,0,2018-01-02,Virginia,VA,73.60329322,4.981367297,12085816
220,0,2018-01-02,Vermont,VT,2.920877627,0.350704009,773941
221,0,2018-01-02,Wisconsin,WI,1.108229584,0.013060441,29458
222,0,2018-01-02,West Virginia,WV,14.24969006,1.118110059,2686067
223,0,2018-01-02,Wyoming,WY,21.2525822,6.370811809,14457479
224,0,2006-01-03,Alaska,AK,19.74382019,23.76294092,32792422
225,0,2006-01-03,Arkansas,AR,8.094101986,0.665496563,1656274
226,0,2006-01-03,Arizona,AZ,25.41826087,16.52304843,41502807
227,0,2006-01-03,California,CA,6.432207027,0.665948281,1687302
228,0,2006-01-03,Colorado,CO,30.56728904,10.37202724,24929986
229,0,2006-01-03,Hawaii,HI,14.10378649,1.274297849,3646700
230,0,2006-01-03,Iowa,IA,15.36522444,2.537777906,5723196
231,0,2006-01-03,Idaho,ID,32.69788378,8.842049789,19257989
232,0,2006-01-03,Illinois,IL,10.10018648,1.898470584,4462171
233,0,2006-01-03,Indiana,IN,8.688334717,1.23796713,2852324
234,0,2006-01-03,Kansas,KS,27.2126509,7.615228582,18076823
235,0,2006-01-03,Kentucky,KY,20.97066928,3.36486276,8166103
236,0,2006-01-03,Louisiana,LA,13.67441366,5.219382657,13629553
237,0,2006-01-03,Michigan,MI,20.80907871,4.306734726,9352863
238,0,2006-01-03,Missouri,MO,26.88144959,5.062074622,12068376
239,0,2006-01-03,Mississippi,MS,10.33832182,1.407093632,3572326
240,0,2006-01-03,Montana,MT,46.63385236,9.881705771,20414804
241,0,2006-01-03,North Carolina,NC,5.153367948,1.567636464,3879370
242,0,2006-01-03,North Dakota,ND,9.208854418,1.552438786,3197039
243,0,2006-01-03,Nebraska,NE,36.20501381,11.34753195,26035507
244,0,2006-01-03,New Mexico,NM,33.30740898,22.8528977,57528919
245,0,2006-01-03,Nevada,NV,4.166902731,0.399758528,985189
246,0,2006-01-03,Ohio,OH,5.583229724,0.490546737,1166944
247,0,2006-01-03,Oklahoma,OK,13.99453432,3.426335139,8410644
248,0,2006-01-03,Oregon,OR,2.19277071,0.161536203,345594
249,0,2006-01-03,South Dakota,SD,18.42935999,4.921401512,10713629
250,0,2006-01-03,Tennessee,TN,16.93915972,3.637065868,8996141
251,0,2006-01-03,Texas,TX,76.17697579,16.54012908,43062041
252,0,2006-01-03,Utah,UT,13.60594027,3.584650702,8589733
253,0,2006-01-03,Virginia,VA,4.638386801,0.365123438,891515
254,0,2006-01-03,Washington,WA,21.48364463,6.698894934,13853048
255,0,2006-01-03,Wisconsin,WI,26.73432714,7.892506169,17158554
256,0,2006-01-03,West Virginia,WV,4.007056689,0.349897664,841726
257,0,2006-01-03,Wyoming,WY,32.22106807,10.61424643,23533104
258,0,2012-01-03,Alabama,AL,14.15925955,1.40671343,3629886
